Component Name,Product Name,Category,Type,Quantity,Estimated Cost- USD,Purchase URL
Main Controller,ESP32-WROOM-32E Module,electrical,mcu,1,$4.5,https://www.digikey.com/en/products/result?keywords=ESP32-WROOM-32E
Audio Codec,PCM5102A DAC Module,electrical,module,1,3,https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLkKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw1dIAnqV8t95xFjrt7F12FRo3a20nLXDch4NJ1q6UhXQfj1RYkcEiQVLNAY7c40GjyBWi7BqP6UHmjgzk8V1SFVgqcivvl1u0oWDxCtUzLtt2h5mLhUTFn1n6dCwvU0KSFnQjXPLSTzElJ4I8tuwG32JA7FgD8lMRwDYSe8Szxdlev4ZyVMI9jN9ULchVtO8fdPBRXrUnpzJFnJZ2SbsXnIoqqJHjwzzs8XWHZnmI7c4Ah3T8pDQzmkKWIMmIisgVHMhVEAWYbdEuITJL5M7C4gut6ySBiNCvso8xSOQpFMFL1wdRqHYz8taOTcKlsR6chmcyUYpJIIOJ6xL1SS72eJs3gNwIApBNaQ5DrN9F4w1XxWnQyCiY3xyVm1RMlRdhMhCdNhZgnYdfIH80CJ7BDgOhglF8yUwOzxCG5rpHolzHDXCAY5GE7Y1rSoa9hjiWu7D8P3Kf4dwkKb5U5FoLCIs9G66LFp7OGuuhMdPqBhtMHy28PGYehaeZ0j0OrrQnuUtduOGoy0IdzkBxmGjHVm9GqtlQZMTG0QxdxlOjHy1jMgr73GKlANnES3CUSOVefGYc4EH3ZvJLR2yCU4HLIHBRBacixwFPDJSHZLlv8fWHYd4ZVZXe9J2IwrKcwGQgzddBxeAd8OCgTYsnqKcIPv
Display Screen,SSD1309 2.42 inch OLED Display,electrical,display,1,$12,https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLkKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw1dIAnqV8t95xFjrt7F12FRo3a20nLXDch4NJ1q6UhXQfj1RYkcEiQVLNAY7c40GjybWi7BqP6UHmjgzk8V1SFVgqcivvl1u0oWDxCtUzLtt2h5mLhUTFn1n6dCwvU0KSFnQjXPLSTzElJ4I8tuwG32JA7FgD8lMRwDYSe8Szxdlev4ZyVMI9jN9ULchVtO8fdPBRXrUnpzJFnJZ2SbsXnIoqqJHjwzzs8XWHZnmI7c4Ah3T8pDQzmkKWIMmIisgVHMhVEAWYbdEuITJL5M7C4gut6ySBiNCvso8xSOQpFMFL1wdRqHYz8taOTcKlsR6chmcyUYpJIIOJ6xL1SS72eJs3gNwIApBNaQ5DrN9F4w1XxWnQyCiY3xyVm1RMlRdhMhCdNhZgnYdfIH80CJ7BDgOhglF8yUwOzxCG5rpHolzHDXCAY5GE7Y1rSoa9hjiWu7D8P3Kf4dwkKb5U5FoLCIs9G66LFp7OGuuhMdPqBhtMHy28PGYehaeZ0j0OrrQnuUtduOGoy0IdzkBxmGjHVm9GqtlQZMTG0QxdxlOjHy1jMgr73GKlANnES3CUSOVefGYc4EH3ZvJLR2yCU4HLIHBRBacixwFPDJSHZLlv8fWHYd4ZVZXe9J2IwrKcwGQgzddBxeAd8OCgTYsnqKcIPv
MicroSD Card Slot,MicroSD Card Breakout Module,electrical,module,1,$2,https://www.amazon.com/dp/B0B779R5TZ?tag=blueprintam-20&linkCode=osi&th=1&psc=1
USB-C Charger & Power Management,TP4056 USB-C LiPo Charger Module with DW01A protection,electrical,power,1,$1.5,https://www.amazon.com/dp/B08DNK398S?tag=blueprintam-20&linkCode=osi&th=1&psc=1
Voltage Boost Converter,MT3608 DC-DC Step Up Converter Module,electrical,power,1,$1,https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLkKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRURc0l0S1P188RqxdKQXl61T15Z3tLRZNsqa6foqthLHEE2GOSerGuPG2P8fLD8OUbMqM7rBRaiy02XjVU59bEuP1PpmFZtcC8QI6ERdXTf1My2lDVOKwiqA5lyH7rxCDRI66knHNkEpojRUo9IbSF3vgifNj6s6CvFDeZq0OkI6UanbcnA0mdQMo4f06wjkq0TZ0SxzKfTRhioH6DNfl7hSOCN1ZRCdikhOFhCdC2wjMtnvsBtfOvB88xfcionTvfU413dw0xYHuu6hdz6JCiXapkPVeJ3XFQw8kucH9eZ2MZwXgN0CLb7K9dBED90l2MoJOeeAaXI4xkLvMnvfVP78NIYeE8gglvnLSWEovjyLPM5OSd06RUwtIarMiKVYEgntU5rStpKAeuKyL22lfosTycEKNvw3EEeTk2P24MlxEWtmK8RkOF0TbYfwFjD0OMRvUmm12NLLL9VmjYl9YG4lUgaOazdNZzj0s3KHpSQFpcnj47l8aO8bLcu14RzlcUdUAJFRFiZLi2XJd5mYZy9Dn1S1aK6xZk8e5th18AHCm4F8EaiyfMUshoOiyw7Mh9EmBokdNgOKmNvdvvx5y436UYTRI73daqme0MXDyA5JHyEctQUlT3EPf0LnpCghToZcHCpE9nv4GDSI2g1iZqL
Click Wheel Touch IC,MPR121 Capacitive Touch Sensor Breakout,electrical,sensor,1,$5,https://www.adafruit.com/product/1982
Center Selection Button,Tactile Push Button Switch 6x6x5mm,electrical,sensor,1,$0.2,https://www.digikey.com/en/products/result?keywords=6x6x5mm+tactile+switch
3.5mm Headphone Jack,PJ-307 3.5mm Audio Jack,electrical,module,1,$0.5,https://www.digikey.com/en/products/result?keywords=PJ-307+3.5mm+audio+jack
LiPo Battery,LiPo Battery 3.7V 4000mAh,electrical,power,1,$15,https://www.amazon.com/dp/B0F1FL4MMG?tag=blueprintam-20&linkCode=osi&th=1&psc=1
